,bev,ac_leakage,ac_efficiency,cd_ftp_1:cert_direct_oncycle_kwh_per_mile,cd_ftp_2:cert_direct_oncycle_kwh_per_mile,cd_ftp_3:cert_direct_oncycle_kwh_per_mile,cd_ftp_4:cert_direct_oncycle_kwh_per_mile,cd_hwfet:cert_direct_oncycle_kwh_per_mile,cd_us06_1:cert_direct_oncycle_kwh_per_mile,cd_us06_2:cert_direct_oncycle_kwh_per_mile,battery_sizing_onroad_direct_kwh_per_mile,nominal_onroad_direct_kwh_per_mile,onroad_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,nominal_onroad_direct_co2e_grams_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_co2e_grams_per_mile,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,credits_co2e_Mg_per_vehicle,structure_mass_lbs,footprint_ft2,curbweight_lbs,rated_hp,battery_kwh,motor_kw,engine_cost,driveline_cost,emachine_cost,battery_cost,electrified_driveline_cost,structure_cost,glider_non_structure_cost,new_vehicle_mfr_cost_dollars,powertrain_cost,new_vehicle_mfr_generalized_cost_dollars,y_norm,x_norm,compliance_id,model_year,name,manufacturer_id,market_class_id,vehicle_id,base_year_market_share,initial_registered_count,base_year_cert_fuel_id,base_year_msrp_dollars,base_year_product,base_year_reg_class_id,base_year_vehicle_id,body_style,context_size_class,cost_curve_class,fueling_class,fueling_class_reg_class_id,unibody,high_eff_alternator,start_stop,mhev,hev,hev_truck,deac_pd,deac_fc,cegr,atk2,gdi,turb12,turb11,gas_fuel,diesel_fuel,awd,fwd,trx10,trx11,trx12,trx21,trx22,ecvt,ice,fcv,phev,cs_ftp_1:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_2:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_3:cert_direct_oncycle_co2e_grams_per_mile,cs_hwfet:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_1:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_2:cert_direct_oncycle_co2e_grams_per_mile,engine_cylinders,engine_displacement_L,hev_batt_kwh,hev_motor_kw,powertrain_type,structure_material
0,1.0,1.0,1.0,0.20668087177549188,0.13931394906654515,0.19881173630997906,0.13931344418916972,0.24050998045565686,0.3226028830928428,0.37555241800438594,0.422366250154073,0.3167746876155547,0.3167746876155547,0.0,0.0,0.3167746876155547,5.0,0.0,13.8,0.0,0.0,0.20152251717495323,-5.0,0.20152251717495323,66.2613432287929,47.4613432287929,32.58621421714286,9.267491724227018,23.318722492915843,730.1158857142858,41.142857142857146,3656.9967752551584,212.66720795978634,84.85158617892768,158.58615677602594,0.0,714.9366195340629,1132.5183048150136,14884.607150905502,7637.354247542525,3892.7607428571428,9746.20991775635,38008.3869834106,9484.8091718916,41641.93838999737,0.0,-0.0,consolidated_OEM,2020,Compact:sedan:BEV:1.0:{'electricity':1.0}:car:2.0:0.0:2019:2014.0:5.0:BEV:steel:VW,VW,sedan_wagon.BEV,1334,0.000343788350714398,0,{'electricity':1.0},35395.0,True,car,0.0,sedan,Compact,BEV,BEV,BEV.car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,0.20896879155626166,0.14263254740078596,0.2012787757839589,0.14263204258099058,0.24115264385895996,0.33384103017922423,0.37680824102918514,0.4254207341444575,0.31906555060834313,0.31906555060834313,0.0,0.0,0.31906555060834313,5.0,0.0,13.8,0.0,0.0,0.20339077128993782,-5.0,0.20339077128993782,67.32834611371457,48.528346113714576,35.888273510400005,9.475838975548362,26.41243453485164,781.1850640000001,45.36000000000001,3828.4070113460957,222.63531527993675,85.63821949050013,166.01938470711602,0.0,742.8851994303204,1185.601542765669,14997.111855553949,7702.22962991161,4007.666394,10692.410260613495,39327.90488227504,9630.7163721076,42141.32958544815,0.5695466391064863,-0.8959002314813016,consolidated_OEM,2020,Compact:sedan:BEV:1.0:{'electricity':1.0}:car:2.0:0.0:2019:2014.0:5.0:BEV:steel:VW,VW,sedan_wagon.BEV,1334,0.000343788350714398,0,{'electricity':1.0},35395.0,True,car,0.0,sedan,Compact,BEV,BEV,BEV.car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,1.0,0.20503228887713562,0.1368987986436822,0.1970327826388386,0.13689829340866277,0.24004250296954746,0.31437160462467506,0.3746617288225784,0.4201627350268225,0.3151220512701169,0.3151220512701169,0.0,0.0,0.3151220512701169,5.0,0.0,13.8,0.0,0.0,0.20016734179862916,-5.0,0.20016734179862916,65.4873714095875,46.6873714095875,35.888273510400005,9.116362890921692,26.771910619478312,507.7702916000001,45.36000000000001,3529.223580800427,205.2367478892016,84.28098602047545,153.04525502170108,0.0,714.9366195340629,1092.9488191201362,14802.879545230484,7602.64417237158,4839.62848716,10692.410260613495,39745.44790402976,9410.529611025779,42518.7606924417,1.0,-1.0,consolidated_OEM,2020,Compact:sedan:BEV:1.0:{'electricity':1.0}:car:2.0:0.0:2019:2014.0:5.0:BEV:steel:VW,VW,sedan_wagon.BEV,1334,0.000343788350714398,0,{'electricity':1.0},35395.0,True,car,0.0,sedan,Compact,BEV,BEV,BEV.car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1.0,1.0,,,,,,,,,0.0,0.0,340.0056259491282,340.0056259491282,0.0,5.0,0.0,13.8,340.0056259491282,273.0118096367157,0.0,268.0118096367157,0.0,0.0,254.2118096367157,38.688175939819885,49.63841479690365,-10.950238857083768,824.4879558174289,48.93582571428572,4064.8603711463034,376.30967510791766,0.0,0.0,11905.14814831045,2791.1592273229353,0.0,0.0,0.0,4105.097900589215,29250.675984183417,48052.08126040602,14696.307375633387,55011.53386063903,0.0,-0.5279306311081703,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2014.0:5.0:PS_MIL_TRXCV:steel:Mercedes Benz,Mercedes Benz,sedan_wagon.ICE,1335,0.00019449553486922266,0,{'gasoline':1.0},51579.13853,True,car,1.0,sedan,Compact,PS_MIL_TRXCV,ICE,ICE.car,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,342.65473139928525,322.46624310204334,286.6427561293668,219.48287975327304,511.14545494961243,334.02788479455285,7.124816632305043,4.603666230314578,0.0,0.0,,
4,,1.0,1.0,,,,,,,,,0.0,0.0,324.9964321007755,324.9964321007755,0.0,5.0,0.0,13.8,324.9964321007755,246.5296604254297,0.0,241.5296604254297,0.0,0.0,227.7296604254297,38.688175939819885,44.4674044133111,-5.779228473491216,824.4879558174289,48.93582571428572,4064.8603711463034,376.30967510791766,0.0,0.0,11905.14814831045,3415.3025939786294,0.0,0.0,0.0,4105.097900589215,29250.675984183417,48676.22462706172,15320.45074228908,55350.06165860675,0.03224162688398919,-0.6894737433056893,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2014.0:5.0:PS_MIL_TRXCV:steel:Mercedes Benz,Mercedes Benz,sedan_wagon.ICE,1335,0.00019449553486922266,0,{'gasoline':1.0},51579.13853,True,car,1.0,sedan,Compact,PS_MIL_TRXCV,ICE,ICE.car,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,311.81507623039954,270.7173847343636,262.8219693113048,209.20712216222788,484.29143793933645,330.0463425543367,7.124816632305043,4.603666230314578,0.0,0.0,,
5,,1.0,1.0,,,,,,,,,0.0,0.0,311.1408641819272,311.1408641819272,0.0,7.5,0.0,13.8,311.1408641819272,226.80357997132134,0.0,219.30357997132134,0.0,0.0,205.50357997132133,38.688175939819885,40.12745103952008,-1.4392750997001968,535.9171712813288,48.93582571428572,3759.431354395444,348.03419118775673,0.0,0.0,11449.141456038145,3939.037152773829,0.0,0.0,0.0,4983.1775735347765,29250.675984183417,49622.03216653017,15388.178608811973,56032.20640907931,0.09720957532911316,-0.8250545143323457,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2014.0:5.0:PS_MIL_TRXCV:steel:Mercedes Benz,Mercedes Benz,sedan_wagon.ICE,1335,0.00019449553486922266,0,{'gasoline':1.0},51579.13853,True,car,1.0,sedan,Compact,PS_MIL_TRXCV,ICE,ICE.car,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,282.39859262747177,233.0552408122743,234.41262267363982,206.20695237318841,454.96626399368233,325.45662607694453,6.935933490741453,4.280660837176933,0.0,0.0,,
6,,1.0,1.0,,,,,,,,,0.0,0.0,315.58990706023303,315.58990706023303,0.0,7.5,0.0,13.8,315.58990706023303,231.4288333049746,0.0,223.9288333049746,0.0,0.0,210.1288333049746,42.61568630965144,41.03059650646256,1.585089803188879,575.3996763376648,53.95174785000001,3938.128585898105,364.5773171476989,0.0,0.0,11716.163424151695,3965.5764934495423,0.0,0.0,0.0,5184.538349322091,30441.10478465249,51307.383051575816,15681.739917601237,56799.035369488454,0.17024290781694218,-0.9195361112720561,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2014.0:5.0:PS_MIL_TRXCV:steel:Mercedes Benz,Mercedes Benz,sedan_wagon.ICE,1335,0.00019449553486922266,0,{'gasoline':1.0},51579.13853,True,car,1.0,sedan,Compact,PS_MIL_TRXCV,ICE,ICE.car,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,289.7651972782674,240.47659981217714,240.48399262779034,207.88194380786592,472.06616371678217,327.72900043632814,7.046510274510019,4.469525392373685,0.0,0.0,,
7,,1.0,1.0,,,,,,,,,0.0,0.0,302.23211006100735,302.23211006100735,0.0,7.5,0.0,13.8,302.23211006100735,218.2381953481651,0.0,210.7381953481651,0.0,0.0,196.9381953481651,42.61568630965144,38.454939776464116,4.1607465331873215,575.3996763376648,53.95174785000001,3992.1598665330384,369.5793324212673,0.384,15.0,11691.902781948875,3966.8969385755877,145.28170985083153,584.4126899101873,1217.3911166712387,5184.538349322091,30441.10478465249,53231.5283709313,17021.472547046535,58468.990169026576,0.32929058391049965,-1.0,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2014.0:5.0:PS_MIL_TRXCV:steel:Mercedes Benz,Mercedes Benz,sedan_wagon.ICE,1335,0.00019449553486922266,0,{'gasoline':1.0},51579.13853,True,car,1.0,sedan,Compact,PS_MIL_TRXCV,ICE,ICE.car,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,274.3875542418294,221.05553594693362,220.13023042543082,201.59517455271444,444.2356649571047,317.87621317264535,6.9001752268718,4.5346422567235996,0.384,15.0,,
8,,1.0,1.0,,,,,,,,,0.0,0.0,191.02118604662718,191.02118604662718,0.0,7.5,0.0,13.8,191.02118604662718,120.37648635455547,0.0,112.87648635455547,0.0,0.0,99.07648635455547,32.413824,19.34607103153592,13.067752968464077,723.5419400000001,40.6,2591.7434400498473,99.46296056042794,0.8962889999999971,104.9937441058295,4835.900953032255,2629.504393408489,1096.1754587746307,1181.9317002787297,1518.60483690921,3877.969365,9482.233274690965,24622.319982094275,10080.185642124583,28257.333643414026,,,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:PS_DHE_TRXCV:steel:Toyota,Toyota,sedan_wagon.ICE,1336,0.00010031288331363919,0,{'gasoline':1.0},24917.44837,True,car,2.0,sedan,Compact,PS_DHE_TRXCV,ICE,ICE.car,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,127.59238334294258,92.79648339760278,115.86556863360346,137.52405258940348,207.72812220682434,223.64761293542006,2.869495995870096,1.3987239801217366,0.8962889999999971,104.9937441058295,HEV,steel
9,,1.0,1.0,,,,,,,,,0.0,0.0,233.69984631604814,233.69984631604814,0.0,7.5,0.0,13.8,233.69984631604814,157.56834374709044,0.0,150.06834374709044,0.0,0.0,136.26834374709043,34.82338176,26.608301873431866,8.21507988656813,764.7156000000001,44.0,3323.8729283235552,170.68685522741987,0.8962889999999974,150.127405898483,7589.937138088782,2669.5688054403163,1573.06768379647,1181.93170027873,1698.766983846805,3970.6101000000003,18038.833262861597,36722.7156743127,13531.340611172373,41169.87753938353,,,consolidated_OEM,2020,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2017.0:5.0:PS_DHE_TRXCV:steel:Toyota,Toyota,sedan_wagon.ICE,1337,8.545171541532227e-06,0,{'gasoline':1.0},34550.0,True,car,3.0,sedan,Compact,PS_DHE_TRXCV,ICE,ICE.car,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.93596109729123,135.72340811330602,147.03962184527433,174.08072881704967,258.5839921229858,267.59565664403,4.814489976959621,2.448292831595384,0.8962889999999974,150.127405898483,HEV,steel
