ac_efficiency,ac_leakage,atk2,awd,battery_cost,battery_kwh,battery_mass_lbs,cegr,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,cost_curve_class,credits_co2e_Mg_per_vehicle,cs_ftp_1:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_2:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_3:cert_direct_oncycle_co2e_grams_per_mile,cs_hwfet:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_1:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_2:cert_direct_oncycle_co2e_grams_per_mile,curbweight_lbs,deac_fc,deac_pd,delta_glider_non_structure_mass_lbs,diesel_fuel,driveline_cost,ecvt,electrified_driveline_cost,emachine_cost,engine_cost,engine_cylinders,engine_displacement_L,etw_lbs,fcv,footprint_ft2,frontier,fwd,gas_fuel,gdi,glider_non_structure_cost,glider_non_structure_mass_lbs,hev,hev_batt_kwh,hev_motor_kw,hev_truck,high_eff_alternator,ice,mhev,model_year,motor_kw,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,nominal_onroad_direct_co2e_grams_per_mile,nominal_onroad_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,phev,powertrain_cost,powertrain_mass_lbs,powertrain_type,rated_hp,rlhp20,rlhp60,start_stop,structure_cost,structure_mass_lbs,structure_material,target_co2e_Mg_per_vehicle,trx10,trx11,trx12,trx21,trx22,turb11,turb12,unibody,vehicle_base_year_id,vehicle_eng_rated_hp,vehicle_id,vehicle_mot_rated_kw,vehicle_name
1,1,1,0,1676.6462311103041,2.3047205206847274,17.3350319700027,0,35.23063592541698,180.4256592378369,194.2256592378369,0,7.5,0,201.7256592378369,0,0,13.8,PS_MIL_TRXCV,3.820522317384949,221.8407301889588,204.91541229122402,201.48987029255088,194.68977505520104,275.7728298147098,266.6430112878014,3924.228466447094,0,0,0.0,0,2706.831902945722,1,2358.985536691773,3431.9345461967673,12527.188290096638,6.0356490988214055,3.7001133229690475,4224.2284664470935,0,49.39939953,True,1,1,1,26123.343706404936,2538.63317966165,1,2.3047205206847274,326.0346819875725,0,0,0,0,2020,326.0346819875725,52942.659237274915,55332.91427160602,251.21740612445322,0,251.21740612445322,0,251.21740612445322,0,0,21024.940275930898,538.1584664470943,HEV,341.3188858867259,2.205537272662245,16.562910144199588,1,4117.729023828781,830.1017883683471,steel,39.05115824280193,0,0,0,0,0,0,1,1,8.0,313.0,5546,20.0,Compact:sedan:HEV:1.0:{'gasoline':1.0}:car:4.0:0.0:2019:2019.0:5.0:PS_MIL_TRXCV:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,37.58198962626029,192.46758043602654,206.26758043602655,0,7.5,0,213.76758043602655,0,0,13.8,TDS_TRX22_SS1,1.4697009841159812,264.8665097566662,239.83104728123027,227.1154453331786,179.84006100865747,455.11994218076916,247.84709589444736,3657.0,0,0,0.0,0,3936.930946500511,0,0.0,0.0,8957.38069036936,4.502745819228882,2.1290974515948244,3957.0,0,49.40007943,True,1,1,1,24511.893232209222,2476.889978110643,0,0.0,0.0,0,0,1,0,2020,0.0,41523.95241833015,43984.23068687016,258.5768949713537,0,258.5768949713537,0,258.5768949713537,0,0,12894.311636869872,350.0,ICE,250.0,2.2237011956183608,16.90675881709216,1,4117.747549251053,830.110021889357,steel,39.05169061037627,0,0,0,0,1,0,1,1,66.0,250.0,5547,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2019.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,41.18660226133965,210.9277811646778,224.72778116467782,0,7.5,0,232.22778116467782,0,0,13.8,TDS_TRX22_SS1,-2.1354440185377186,285.7631585025456,268.85514210358707,244.48169501675414,191.36245523026926,470.73661570858116,256.2738629615683,3907.0,0,0,0.0,0,3965.2167364908496,0,0.0,0.0,10426.973582382974,5.290102940242965,2.6872058575332756,4207.0,0,49.39939953,True,1,1,1,28983.5256852875,2612.298211631653,0,0.0,0.0,0,0,1,0,2020,0.0,47493.44502799011,50078.363920070486,271.6767080431025,0,271.6767080431025,0,271.6767080431025,0,0,14392.190318873823,464.6,ICE,316.0,2.3617143644258114,17.243611379060454,1,4117.729023828781,830.1017883683471,steel,39.05115824280193,0,0,0,0,1,0,1,1,95.0,316.0,5548,0.0,Compact:sedan:ICE:1.0:{'gasoline':1.0}:car:4.0:0.0:2019:2019.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,1,0,1680.037651686717,2.3283618786989,17.3350319700027,0,49.286471998212015,218.21208243070868,235.41208243070867,0,11.600000000000001,0,247.01208243070866,0,0,17.2,PS_MIL_TRXCV,11.71680517274217,274.60760390016094,236.24096449734577,245.61642398863833,247.3092551714837,356.67231772037894,332.61874804222083,5000.326705713985,0,0,0.0,0,2777.4886425020845,1,2400.3147337453042,3467.2742718347404,12862.730953953647,6.359641868012104,3.738544276817776,5300.326705713985,0,53.71714235000001,True,1,1,1,51037.89574347711,3422.505466415906,1,2.3283618786989,329.37908981722023,0,0,0,0,2020,329.37908981722023,79076.4012323313,82034.35110717877,310.8825143477944,0,310.8825143477944,0,310.8825143477944,0,0,21507.808602035777,537.9709917139851,HEV,340.98245992451416,2.9381507132840463,24.383166831289714,1,4850.659235131703,1022.5152156140903,steel,61.003277170954185,0,0,0,0,0,0,1,1,171.0,313.0,5549,20.0,Large Crossover:cuv_suv:HEV:1.0:{'gasoline':1.0}:truck:4.0:0.0:2019:2016.0:5.0:PS_MIL_TRXCV:steel:Volvo:Volvo
1,1,1,0,1678.5144063235327,2.317719500878989,17.3350319700027,0,47.96689198842001,212.3697429367986,229.56974293679858,0,11.600000000000001,0,241.16974293679857,0,0,17.2,PS_MIL_TRXCV,10.07757544937008,267.5375324042287,234.84968477388864,239.94320197101158,238.90319820416073,325.116448463679,314.91601280978745,4467.622462582361,0,0,0.0,0,2742.2909508501484,1,2380.261903273677,3451.3657912078393,12761.942231846544,6.268109919466394,3.7213428676881413,4767.622462582361,0,50.85064265,True,1,1,1,34413.69548462831,2953.268330865087,1,2.317719500878989,327.8735759456231,0,0,0,0,2020,327.8735759456231,62135.7457017511,64953.208671081826,296.1172464197058,0,296.1172464197058,0,296.1172464197058,0,0,21335.86087717821,538.0524625823609,HEV,341.12779514295534,3.0845111029115824,22.93554541269509,1,4707.674933621047,958.9666371649099,steel,58.04446743779009,0,0,0,0,0,0,1,1,174.0,313.0,5550,20.0,Large Crossover:cuv_suv:HEV:1.0:{'gasoline':1.0}:truck:4.0:0.0:2019:2018.0:5.0:PS_MIL_TRXCV:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,45.08413969309582,230.88812936893547,244.68812936893548,0,7.5,0,252.18812936893548,0,0,13.8,TDS_TRX22_SS1,-4.901821971731842,310.4679387924312,267.1450778096411,266.759447775809,223.06215371915337,534.5210425404508,319.15627539085597,4109.0,0,0,0.0,0,3970.1554813790635,0,0.0,0.0,8855.806488657361,4.408924035665096,2.1308741019492663,4409.0,0,50.84403171,True,1,1,1,27619.419038678774,2800.179923408326,0,0.0,0.0,0,0,1,0,2020,0.0,45152.72618104646,48201.52647985433,320.4309547965468,0,320.4309547965468,0,320.4309547965468,0,0,12825.961970036424,350.0,ICE,250.0,2.936146085950813,22.787940318385292,1,4707.345172331266,958.8200765916741,steel,40.18231772136398,0,0,0,0,1,0,1,1,188.0,250.0,5551,0.0,Large Crossover:cuv_suv:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2018.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,50.6628856286677,224.30604843011403,241.50604843011402,0,11.600000000000001,0,253.10604843011401,0,0,17.2,TDS_TRX22_SS1,10.30024082547132,318.7111673946394,269.46317799024774,274.0124422896379,219.11060737264324,597.974440716095,329.02343952536637,4771.0,0,0,0.0,0,4008.5143550027897,0,0.0,0.0,8742.227888438807,4.313047807768675,2.1254936146337857,5071.0,0,53.67824427,True,1,1,1,34330.52937454408,3399.347131480662,0,0.0,0.0,0,0,1,0,2020,0.0,51929.99057215419,55090.50996046085,332.1727059801514,0,332.1727059801514,0,332.1727059801514,0,0,12750.742243441597,350.0,ICE,250.0,2.2674377052535832,22.115261304264035,1,4848.71895416851,1021.652868519338,steel,60.96312645413902,0,0,0,0,1,0,1,1,212.0,250.0,5552,0.0,Large Crossover:cuv_suv:ICE:1.0:{'gasoline':1.0}:truck:2.0:0.0:2019:2016.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,58.470987160258304,258.87582033629957,276.07582033629956,0,11.600000000000001,0,287.6758203362996,0,0,17.2,TDS_TRX22_SS1,2.532290010695874,356.70795496051045,311.0128885410186,306.31993360941834,249.15294880578415,626.4381482763424,358.59875126284135,4983.285713999999,0,0,0.0,0,4013.704577700108,0,0.0,0.0,10032.089173479528,4.970034252990677,2.6239999275920733,5283.285713999999,0,53.71714235,True,1,1,1,53912.656726894216,3500.5642464553475,0,0.0,0.0,0,0,1,0,2020,0.0,72809.10971320556,76272.74106276981,364.029976262499,0,364.029976262499,0,364.029976262499,0,0,14045.793751179635,460.2062519305615,ICE,308.6770865509359,3.189982233147698,24.984430399131806,1,4850.659235131702,1022.51521561409,steel,61.00327717095418,0,0,0,0,1,0,1,1,250.0,308.67708655093594,5553,0.0,Large Crossover:cuv_suv:ICE:1.0:{'gasoline':1.0}:truck:4.0:0.0:2019:2016.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,0,0,0.0,0.0,0.0,0,54.212738598730716,240.0227507525766,257.2227507525766,0,11.600000000000001,0,268.8227507525766,0,0,17.2,TDS_TRX22_SS1,3.831728839059373,331.3010273895605,288.56881343218595,284.51137752807097,235.22604108229504,569.2837340721416,335.0199924034058,4450.5,0,0,0.0,0,4000.6783761083707,0,0.0,0.0,9531.667156899206,4.744552446486314,2.3972148094915617,4750.5,0,50.85064265,True,1,1,1,37288.45646804542,3047.5208442308235,0,0.0,0.0,0,0,1,0,2020,0.0,55528.47693467404,58750.381985455046,338.62438024860467,0,338.62438024860467,0,338.62438024860467,0,0,13532.345533007578,444.0125186042666,ICE,281.687531007111,3.118117348596211,23.75858634710102,1,4707.674933621047,958.9666371649099,steel,58.04446743779009,0,0,0,0,1,0,1,1,282.0,281.687531007111,5554,0.0,Large Crossover:cuv_suv:ICE:1.0:{'gasoline':1.0}:truck:4.0:0.0:2019:2018.0:5.0:TDS_TRX22_SS1:steel:Volvo:Volvo
1,1,1,0,1678.4418524077018,2.3172135673642047,17.3350319700027,0,37.686083272023104,193.0006722796988,206.8006722796988,0,7.5,0,214.3006722796988,0,0,13.8,PS_MIL_TRXCV,4.378468664562682,236.97822882387663,217.7084410664664,214.14664725930325,206.45016571216408,298.7418539534483,278.04614399911327,4374.138815287766,0,0,0.0,0,2717.83186549766,1,2365.4717638425723,3450.6094752017766,12714.070674408795,6.215578583145677,3.7204376104360626,4674.138815287766,0,53.2478803,True,1,1,1,40723.59858434548,2942.028462385027,1,2.3172135673642047,327.8020012764172,0,0,0,0,2020,327.8020012764172,67872.61385340517,70382.69163814641,263.8108575011414,0,263.8108575011414,0,263.8108575011414,0,0,21247.983778950806,538.0688152877661,HEV,341.15712689158016,2.5279700207596836,17.93282374355887,1,4222.589637701183,876.7065056449702,steel,42.06455193658579,0,0,0,0,0,0,1,1,387.0,313.0,5555,20.0,Midsize:sedan:HEV:1.0:{'gasoline':1.0}:car:4.0:0.0:2019:2017.0:5.0:PS_MIL_TRXCV:steel:Volvo:Volvo
