ac_efficiency,ac_leakage,atk2,awd,battery_cost,battery_kwh,battery_mass_lbs,cegr,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,cost_curve_class,credits_co2e_Mg_per_vehicle,cs_ftp_1:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_2:cert_direct_oncycle_co2e_grams_per_mile,cs_ftp_3:cert_direct_oncycle_co2e_grams_per_mile,cs_hwfet:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_1:cert_direct_oncycle_co2e_grams_per_mile,cs_us06_2:cert_direct_oncycle_co2e_grams_per_mile,curbweight_lbs,deac_fc,deac_pd,delta_glider_non_structure_mass_lbs,diesel_fuel,driveline_cost,ecvt,electrified_driveline_cost,emachine_cost,engine_cost,engine_cylinders,engine_displacement_L,etw_lbs,fcv,footprint_ft2,frontier,fwd,gas_fuel,gdi,glider_non_structure_cost,glider_non_structure_mass_lbs,hev,hev_batt_kwh,hev_motor_kw,hev_truck,high_eff_alternator,ice,mhev,model_year,motor_kw,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,nominal_onroad_direct_co2e_grams_per_mile,nominal_onroad_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,phev,powertrain_cost,powertrain_mass_lbs,powertrain_type,rated_hp,rlhp20,rlhp60,start_stop,structure_cost,structure_mass_lbs,structure_material,target_co2e_Mg_per_vehicle,trx10,trx11,trx12,trx21,trx22,turb11,turb12,unibody,vehicle_base_year_id,vehicle_eng_rated_hp,vehicle_id,vehicle_mot_rated_kw,vehicle_name
1,1,0,0,0,0,0.0,0,67.35028584943655,344.9191138634697,358.7191138634697,0,7.5,0,366.2191138634697,0,0,13.8,TDS_TRX12_SS1,-24.853419417436548,436.3955087920087,432.57254638213254,372.2898732076283,304.39510629207035,588.1690852657516,390.5890697740771,4450.0,0,0,0.0,0,3785.868465131859,0,0,0,15130.039253160525,7.573217861063604,5.136237175018657,4750.0,0,53.8,True,1,1,1,278366.53206695354,3005.40738,0,0,0,0,0,1,0,2020,0,301520.07318024593,305416.5418424116,409.52146791666814,0,409.52146791666814,0,409.52146791666814,0,0,18915.907718292383,561.2,ICE,602.0,3.578075502133872,27.079562322379974,1,4237.633395,883.3926200000001,steel,42.496866432,0,0,1,0,0,0,1,1,524.0,602.0,4381,0.0,Minicompact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2017.0:5.0:TDS_TRX12_SS1:steel:Ferrari:Ferrari
1,1,0,0,0,0,0.0,0,64.49800198276205,330.3117931762232,344.1117931762232,0,7.5,0,351.6117931762232,0,0,13.8,TDS_TRX12_SS1,-27.32559430276205,416.3990656869571,419.83314067420355,354.87582433058924,290.91292391444733,541.0756699005627,364.2177092876685,3950.0,0,0,0.0,0,3751.470367111552,0,0,0,15213.825991252186,7.671700844309189,5.1551053450996225,4250.0,0,47.0,True,1,1,1,278587.23480084405,2587.7547000000004,0,0,0,0,0,1,0,2020,0,301604.8830842078,305266.4631746746,384.83452160218064,0,384.83452160218064,0,384.83452160218064,0,0,18965.29635836374,561.2,ICE,602.0,3.368745552128275,25.267591608637275,1,4052.351925,801.0453,steel,37.17240768,0,0,1,0,0,0,1,1,527.0,602.0,4382,0.0,Minicompact:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2018.0:5.0:TDS_TRX12_SS1:steel:Ferrari:Ferrari
1,1,0,0,0,0,0.0,0,87.6849024474703,449.05821066592046,462.85821066592047,0,7.5,0,470.35821066592047,0,0,13.8,GDI_TRX12_SS1,-45.188036015470296,530.2480886031724,641.0755472388562,455.31338394395976,352.1584686763587,726.7101469139607,417.7479329910068,4450.0,0,0,0.0,0,3785.868465131859,0,0,0,16015.54035925626,7.728420563204355,8.929958551723228,4750.0,0,53.8,True,1,1,1,277732.4497172808,2883.6073799999995,0,0,0,0,0,1,0,2020,0,301771.4919366689,306306.2093396363,476.6018383472139,0,476.6018383472139,0,476.6018383472139,0,0,19801.40882438812,683.0,ICE,680.0,3.848044472051917,26.487891885345057,1,4237.633395,883.3926200000001,steel,42.496866432,0,0,1,0,0,0,0,1,533.0,680.0,4383,0.0,Minicompact:sedan:ICE:1.0:{'gasoline':1.0}:car:4.0:0.0:2019:2017.0:5.0:GDI_TRX12_SS1:steel:Ferrari:Ferrari
1,1,0,0,0,0,0.0,0,65.3818640303381,334.83829087972225,348.63829087972226,0,5.0,0,353.63829087972226,0,0,13.8,TDS_TRX12_SS0,-27.896252894338097,421.9904831321836,455.49754498778145,365.8840015731468,267.7242862443564,508.88661941611343,318.24494149296953,3661.6209262435677,0,0,0.0,0,3178.4917850278316,0,0,0,15243.170653140507,7.689381545792632,5.170866214184801,3961.6209262435677,0,47.39999999999999,True,1,1,1,279151.2946879026,2294.531666243568,0,0,0,0,0,1,0,2020,0,301636.20796107093,305044.54808283667,358.2188311631395,0,358.2188311631395,0,358.2188311631395,0,0,18421.66243816834,561.2,ICE,602.0,3.1618005607166397,21.100116187373505,0,4063.250835,805.8892599999999,steel,37.485611135999996,0,0,1,0,0,0,1,1,711.0,602.0,4384,0.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS0:steel:Ferrari:Ferrari
1,1,0,0,0,0,0.0,0,64.27501215164001,329.1698016615455,342.9698016615455,0,7.5,0,350.4698016615455,0,0,13.8,TDS_TRX12_SS1,-26.78940101564001,411.73536427924404,417.48692045087654,350.79017746535624,292.4139471562679,517.2691404096303,361.4068716711199,3493.764302059497,0,0,0.0,0,3718.1422726708624,0,0,0,15276.899564844027,7.726456307995087,5.18024997514617,3793.764302059497,0,47.4,True,1,1,1,278609.7292443035,2126.6750420594967,0,0,0,0,0,1,0,2020,0,301668.02191681834,305289.6036261188,380.6306649335568,0,380.6306649335568,0,380.6306649335568,0,0,18995.041837514887,561.2,ICE,602.0,3.4919932321246607,25.718219382504316,1,4063.2508350000007,805.8892600000001,steel,37.485611136,0,0,1,0,0,0,1,1,713.0,602.0,4385,0.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2016.0:5.0:TDS_TRX12_SS1:steel:Ferrari:Ferrari
1,1,0,0,0,0,0.0,0,96.21652861546426,492.7509864361288,506.5509864361288,0,7.5,0,514.0509864361288,0,0,13.8,GDI_TRX12_SS1,-57.791307111464256,541.1601976911678,727.4758971844707,465.2721550413367,388.4454315711563,760.7959154844722,434.88840401988165,3950.0,0,0,0.0,0,3751.470367111552,0,0,0,15722.076178238756,5.004529333700633,10.25261519197568,4250.0,0,48.6,True,1,1,1,277699.65958275116,2458.5788599999996,0,0,0,0,0,1,0,2020,0,301269.1536931015,306060.40916088567,503.56416089849677,0,503.56416089849677,0,503.56416089849677,0,0,19473.54654535031,671.0,ICE,785.0,3.8936437350467665,28.768655022157617,1,4095.9475650000004,820.4211400000002,steel,38.425221504,0,0,1,0,0,0,0,1,719.0,785.0,4386,0.0,Two Seater:sedan:ICE:1.0:{'gasoline':1.0}:car:2.0:0.0:2019:2018.0:5.0:GDI_TRX12_SS1:steel:Ferrari:Ferrari
