compliance_id,veh_id,veh_name,market_class,fueling_class,techNo,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Aston Martin Lagonda,Ast_1-0,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,0,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,71.4353411866915,65.0111555866915,-6.424185600000001,-18.8,-5.0,0.2858727722888177,0.0,0.36728018474646185,226239.16915159044,228576.79682993278,120.36748306897587,5234.387351084382,729.1907742251761,46.97040145537055
Aston Martin Lagonda,Ast_1-1,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,3,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,77.53047215048969,71.10628655048967,-6.424185600000001,-18.8,-5.0,0.2891901281596816,0.0,0.37060749078526867,227663.369641428,229128.29144287147,121.76426448828698,5441.214725521655,757.6380343676254,51.41854136263038
Aston Martin Lagonda,Ast_1-2,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,5,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,78.03243622232738,71.60825062232738,-6.424185600000001,-18.8,-5.0,0.2905521483157846,0.0,0.3719512661799207,227826.25722186716,229224.74798478346,122.33774665927768,5510.449292183965,770.2245370789276,51.78486760454603
Aston Martin Lagonda,Ast_2-0,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,-19.22146114668552,37.14923176382371,56.370692910509234,288.68963511199826,302.48963511199827,0.0,334.83617126722606,0.0,207797.5812891603,211453.1467310514,0.0,3743.05454600538,520.0921414746092,46.97040145537055
Aston Martin Lagonda,Ast_2-1,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,4,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,-19.074814944883357,37.14923176382371,56.224046708707064,287.9386200667151,301.7386200667151,0.0,334.20083263337006,0.0,207807.451105092,211456.97149862637,0.0,3724.306765634241,517.2320681914454,46.97040145537055
Aston Martin Lagonda,Ast_2-2,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,9,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,-10.548361761177343,37.14923176382371,47.69759352500105,244.27233655461862,258.0723365546186,0.0,300.6848465951476,0.0,208778.51681854515,212109.14308927837,0.0,3483.8717306675153,485.8134355313921,46.97040145537055
Aston Martin Lagonda,Ast_2-3,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,14,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,-4.991206939803171,40.91900035561564,45.91020729541882,235.11864601472269,248.9186460147227,0.0,300.2434405467533,0.0,210725.47499542264,213089.00819584937,0.0,3649.3264116456075,508.9621352850232,51.78486760454603
Aston Martin Lagonda,Ast_2-4,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,19,0.00012811565159007374,1.0,1573.9148580145543,244128.94126666666,1.0,-3.183106909071694,40.91900035561564,44.10210726468735,225.85887447090778,239.6588744709078,0.0,288.6873519002763,0.0,212958.52540916472,215212.10604105509,0.3277322892417559,3681.64334627262,513.2389625925405,51.78486760454603
BMW,BMW_1-0,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,0,0.012650878781106828,1.0,139347.1610279169,81956.22657512255,1.0,69.60641810298762,63.182232502987624,-6.424185599999999,-18.799999999999994,-5.000000000000001,0.2311596075842884,0.0,0.29032181012482433,65852.23799231753,67781.91667195558,97.33036108812146,4820.974974762914,341.33927800927387,45.3152033855462
BMW,BMW_1-1,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,3,0.012650878781106828,1.0,139347.1610279169,81956.22657512255,1.0,75.0689481419825,68.64476254198249,-6.424185599999999,-18.799999999999994,-5.000000000000001,0.23294112859728913,0.0,0.2922085041256662,67119.43366767582,68240.2352813768,98.08047519885858,4988.553481457334,353.10400752560423,49.40756571639975
