compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Ferrari,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1.0,18.58150625097992,36.52435654292302,17.942850291943103,91.8902116721111,-5.0,0.2896535528705771,0.0,0.4497571678673663,319471.73118483357,324508.22950632294,121.95939068234824,4959.755666362622,862.7506111214977,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1.0,18.610380259214427,36.52435654292302,17.913976283708596,91.74234003046438,-5.0,0.289394639041102,0.0,0.44944674343853164,319476.9984304161,324510.3392217118,121.85037433309557,4944.069812153917,860.6286146644999,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1.0,21.921766888301146,40.17468493724874,18.252918048947592,93.47815290554118,-5.0,0.2924339368654406,0.0,0.45312227928121274,321293.8050666952,325417.99880938366,123.1300786801855,5135.462020032506,893.8832905183306,50.905024272238734
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-25.89850105887636,36.52435654292302,62.42285760179938,319.68441495513446,333.4844149551345,0.0,407.59899890150825,0.0,300258.54977200425,308476.6272899025,0.0,3421.919573225881,593.2223592853579,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-25.723867019007738,36.52435654292302,62.24822356193076,318.7900665864202,332.5900665864202,0.0,406.9336967428427,0.0,300274.64301908994,308480.0602531438,0.0,3398.316778967914,589.6156401627921,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-20.41528129395417,36.52435654292302,56.939637836877196,291.60335667033956,305.40335667033963,0.0,386.7860107744892,0.0,300859.16329378536,308681.1826689175,0.0,3398.316778967914,589.6156401627921,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-17.003494674522607,36.52435654292302,53.52785121744563,274.13067036138574,287.93067036138575,0.0,377.7102498665445,0.0,301267.8691902358,308917.18251338485,0.0,3383.70199286863,587.6385387623945,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-13.447870319527912,36.52435654292302,49.97222686245093,255.92135192585903,269.72135192585904,0.0,380.9665534263513,0.0,301638.95529738034,309350.2340400218,0.0,3383.70199286863,587.6385387623945,46.17235761654306
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-10.977828825277381,40.17468493724874,51.15251376252611,261.9659218418455,275.7659218418455,0.0,385.2676329351564,0.0,303368.482161914,310215.0744255717,0.0,3561.0923033228064,618.4651816382353,50.905024272238734
Ferrari,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1.0,-8.456867913634138,40.17468493724874,48.63155285088287,249.05539603246314,262.8553960324631,0.0,367.7161189761845,0.0,305303.42329119786,311816.0212250218,0.384,3603.560450435684,625.8256866595143,50.905024272238734
Ferrari,composite vehicle (sedan_wagon.ICE.car.NO_ALT),sedan_wagon.ICE,ICE,1.0,-26.23210327147116,37.17240768,63.40451095147116,324.71172848795044,338.51172848795045,0.0,436.8938397432571,0.0,301584.158643189,309897.9750783227,0.0,3950.0,602.0,47.0
