compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-7.743431310041311,35.93546423203608,43.67889554207738,223.69149224679103,237.49149224679087,0.0,308.9503005794264,0.0,43441.76770147595,49774.93382472411,0.0,3408.550198344401,290.1528768551777,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-7.73463646656122,35.93546423203608,43.670100698597295,223.6464514636457,237.4464514636456,0.0,308.92253619650376,0.0,43442.31353965129,49774.95132406272,0.0,3408.550198344401,290.1528768551777,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-7.692486071352418,35.93546423203608,43.627950303388495,223.43058783692084,237.23058783692076,0.0,308.7905668824304,0.0,43445.018204986896,49775.144695915864,0.0,3408.550198344401,290.1528768551777,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-7.680156341788127,35.93546423203608,43.6156205738242,223.36744394165953,237.16744394165949,0.0,308.74389092537683,0.0,43446.11895938469,49775.35723605297,0.0,3407.170532579501,289.9497464674078,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-7.495004336067677,35.93546423203608,43.430468568103755,222.41923021193747,236.21923021193743,0.0,307.8127584896937,0.0,43468.70822355709,49780.22763252144,0.0,3407.170532579501,289.9497464674078,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-6.21797694100445,35.93546423203608,42.15344117304053,215.87922593535183,229.67922593535175,0.0,302.64179469600174,0.0,43629.629060563435,49842.74826365914,0.0,3331.560276153507,283.77988872511014,45.4202684558322
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,-1.862669795383305,35.94504260603298,37.80771240141628,193.62356809968185,207.42356809968186,0.0,286.6333463541277,0.0,44269.64578787234,50175.70071431361,0.0,3305.123475244682,282.0533962666283,45.43250123783176
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,3.9119521848920273,39.49458955265652,35.58263736776451,182.22835426788598,196.0283542678861,0.0,281.84938585466705,0.0,46468.7303413965,51377.10534479035,0.0,3287.878466956063,280.96206346980927,49.965716792929044
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,7.243604040228961,39.53207363233429,32.288469592105336,165.35802601659975,179.15802601659973,0.0,264.1315625122821,0.0,48849.1917354345,53398.39742365617,0.555578194257916,3333.938147364802,284.7182677787018,50.07584597255502
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,7.320355842756566,39.53207363233429,32.211717789577726,164.96495918130185,178.76495918130183,0.0,263.70639037595333,0.0,49233.635442999876,53774.7503714689,0.5706141665221751,3333.938147364802,284.7182677787018,50.07584597255502
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,7.505505440342597,39.53207363233429,32.02656819199169,164.01675778429046,177.81675778429042,0.0,259.3641693484749,0.0,51431.23830601062,55889.72223227002,0.722904758021869,3333.938147364802,284.7182677787018,50.07584597255502
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,7.509897270890376,39.53207363233429,32.02217636144391,163.9942660267326,177.79426602673252,0.0,259.00196670205463,0.0,51575.08106329487,56026.6724997988,0.7346065498571681,3333.938147364802,284.7182677787018,50.07584597255502
General Motors,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0.9999999999999998,7.509899103610367,39.53207363233429,32.02217452872392,163.99425664087556,177.7942566408755,0.0,258.8684025961426,0.0,51638.602088587635,56087.65188371816,0.7398759648067219,3333.938147364802,284.7182677787018,50.07584597255502
General Motors,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1.0,43.36352698046555,54.037456079589,10.673929099123438,47.25800411362292,-7.2,0.24741769795854457,0.0,0.39662787479575123,53227.54882369484,57731.18770534829,104.17587282465036,4992.913573770039,310.36320284484646,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1.0,48.268802252104344,58.96018011558626,10.69137786348192,47.33525718230767,-7.2,0.24755296316307676,0.0,0.3968029461462492,55490.172838595005,59033.57468513797,104.23282659497971,5012.448932386314,309.9121418232008,51.73778658722842
General Motors,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1.0,48.42548480931248,58.96018011558626,10.534695306273786,46.64155715260792,-7.2,0.24633833857923917,0.0,0.39532392300559144,55643.78345681879,59172.14119023796,103.72140571757443,4913.938573793499,305.12987156125325,51.73778658722842
