compliance_id,veh_name,techOptionNo,market_class,fueling_class,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,68.22844334680323,61.80425774680319,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.20380210832238946,0.0,0.2649837840597193,45094.95794587523,46886.94208021953,85.81141403047974,4228.9955053543645,264.67316185831857,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,68.2293906066211,61.80520500662105,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.20380240216803874,0.0,0.2649840933507718,45095.15057296624,46886.9980209624,85.81153775496365,4229.022830475813,264.6751097495277,44.432923128673075
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,74.16778828701389,67.74360268701383,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.20569091328477207,0.0,0.26699364001894427,46453.60613807468,47365.80853957369,86.60670033043048,4414.292026931318,276.431064935325,48.88224939969622
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,74.1734489203382,67.7492633203381,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.20570342267231392,0.0,0.2670070486981612,46463.80729070884,47368.997487376764,86.61196744097442,4415.7021296632165,276.4964322537007,48.91765139499914
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,74.17412892092531,67.74994332092517,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.2057067486080699,0.0,0.2670104996965264,46465.948088894365,47369.80750357182,86.61336783497696,4415.986025444026,276.52059906260996,48.92439306086345
consolidated_OEM,composite vehicle (sedan_wagon.BEV.car.ALT),0,sedan_wagon.BEV,BEV,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,74.17450320828809,67.75031760828803,-6.424185599999996,-18.799999999999972,-4.999999999999996,0.20571019988065706,0.0,0.26701406076077655,46468.18412664064,47370.736560236954,86.61482100238207,4416.265540316369,276.54696557602205,48.93101852106151
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-5.555095385396265,35.31671871245894,40.871814097855264,209.31566544706254,223.11566544706264,0.0,265.00552081872115,0.0,30170.822699803837,33136.585070221656,0.0,3202.5860892246387,199.80403243956036,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-5.553745966996986,35.31671871245894,40.87046467945599,209.30875470878377,223.10875470878383,0.0,265.0013374295707,0.0,30170.863206327333,33136.58577310602,0.0,3202.5860892246387,199.80403243956036,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-5.517333385542137,35.31671871245894,40.83405209800114,209.12227598533835,222.9222759853384,0.0,264.8882676762059,0.0,30171.980323179938,33136.62706662545,0.0,3202.5591170852376,199.79938495148863,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-5.45171422208231,35.31671871245894,40.7684329345413,208.7862224196026,222.5862224196026,0.0,264.68046460178977,0.0,30174.164562116213,33136.83412431289,0.0,3202.5591170852376,199.79938495148863,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-5.2812445924518565,35.31671871245894,40.59796330491083,207.9132011272473,221.71320112724743,0.0,264.15195856585996,0.0,30180.43934397777,33138.08033656793,0.0,3202.5591170852376,199.79938495148863,44.43223183192762
consolidated_OEM,composite vehicle (sedan_wagon.ICE.car.ALT),1,sedan_wagon.ICE,ICE,0.31003820496658996,0.9999972558705682,3492102.898291367,65770.67019233223,1.0000000000000009,-4.877960658280038,35.31671871245894,40.19467937073903,205.84787452238513,219.64787452238522,0.0,262.8785073304276,0.0,30197.824588698924,33143.34909114048,0.0,3202.4630599165243,199.78340365034413,44.43223183192762
