compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
BMW,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,7.81906314,39.43888067,31.61981753,161.9336771,175.7336771,0,260.2033985,0,53672.36016,58241.20873,0.509606024,3537.496745,237.5837101,49.75029564
BMW,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,8.294157125,39.46334501,31.16918788,159.6258803,173.4258803,0,252.7751388,0,54841.68443,59247.99213,0.738974771,3544.412206,238.0479317,49.85622427
BMW,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,8.849683621,39.5064276,30.65674398,157.0015158,170.8015158,0,250.0791424,0,57569.85839,61878.60664,0.844161356,3552.407527,238.6893213,50.08750592
BMW,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,8.851967412,39.5064276,30.65446019,156.9898199,170.7898199,0,249.9600079,0,57618.87599,61925.35719,0.848432702,3552.407527,238.6893213,50.08750592
BMW,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,8.852669925,39.5064276,30.65375767,156.9862221,170.7862221,0,249.9654129,0,57676.38164,61982.96568,0.848432702,3552.407527,238.6893213,50.08750592
BMW,composite vehicle (sedan_wagon.ICE.car.NO_ALT),sedan_wagon.ICE,ICE,1,-7.5448772,36.81333145,44.35820865,227.1704393,240.9704393,0,340.0967711,0,59093.46869,65565.29747,0,3843.098969,321.2605634,46.57862399
BMW,composite vehicle (cuv_suv_van.ICE.truck.NO_ALT),cuv_suv_van.ICE,ICE,1,4.392949186,59.53629331,55.14334413,244.1429355,261.3429355,0,387.7364968,0,57505.89321,64884.27616,0,4611.706488,313.8455671,52.29592599
BMW,composite vehicle (sedan_wagon.BEV.car.NO_ALT),sedan_wagon.BEV,BEV,1,24.67288591,32.79992095,8.127035039,41.62075467,-5,0.191857069,0,0.300717241,49990.31654,53463.26644,80.78192369,3298.023606,210.6556616,41.41578738
BMW,composite vehicle (sedan_wagon.BEV.car.NO_ALT),sedan_wagon.BEV,BEV,1,27.79230428,36.12388518,8.331580902,42.66828961,-5,0.193691236,0,0.302951974,51362.51361,54009.1708,81.55420453,3475.200972,221.9725653,45.66090559
BMW,composite vehicle (sedan_wagon.BEV.car.NO_ALT),sedan_wagon.BEV,BEV,1,28.13533977,36.12388518,7.98854541,40.91151165,-5,0.190615229,0,0.299219174,51773.09294,54381.78138,80.25904396,3174.53563,202.7680767,45.66090559
BMW,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,1,20.51149337,44.129664,23.61817063,120.9550692,-5,0.355040179,0,0.542963936,364249.1988,370341.5644,149.4906016,7806.041044,708.8388883,56.95238095
BMW,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,1,21.41281081,44.129664,22.71685319,116.3391777,-5,0.346958047,0,0.533439283,364587.6917,370583.1759,146.0875986,7379.678124,670.1223845,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,-25.75209652,44.129664,69.88176052,357.8834835,371.6834835,0,474.7248866,0,342870.5105,352473.7519,0,6046.143445,549.0288321,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,-18.54258,44.129664,62.672244,320.9615905,334.7615905,0,457.3409424,0,343494.6539,352767.0897,0,6046.143445,549.0288321,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,-14.93180619,44.129664,59.06147019,302.4698367,316.2698367,0,449.2106613,0,344096.4446,353214.1662,0,6046.143445,549.0288321,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,-12.97649829,44.129664,57.10616229,292.4561737,306.2561737,0,440.0065681,0,344665.2228,353607.7963,0,5641.182787,512.2557918,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.ALT),cuv_suv_van.ICE,ICE,1,-9.86928726,44.129664,53.99895126,276.5433017,290.3433017,0,427.4084878,0,346611.4819,355314.3218,0.384,5704.836869,518.0359931,56.95238095
BMW,composite vehicle (cuv_suv_van.ICE.car.NO_ALT),cuv_suv_van.ICE,ICE,1,-2.597792181,39.33231725,41.93010943,214.7354834,228.5354834,0,335.9976558,0,42181.32315,48575.14833,0,4034,248,49.75847476
FCA,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,27.775178,39.65210517,11.87692717,60.82497118,-5,0.24340877,0,0.375071093,50721.0119,55036.78311,102.4879031,5032.963694,417.071209,50.0677452
FCA,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,27.88168834,39.76767451,11.88598617,60.87136475,-5,0.243490002,0,0.375171226,50766.80152,55054.07194,102.5221061,5039.074063,417.565376,50.2153417
FCA,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,31.50663199,43.44575671,11.93912472,61.14350173,-5,0.243966497,0,0.375764742,52578.95957,55886.43104,102.7227354,5074.401605,420.75944,55.14452165
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-8.222578164,39.65210517,47.87468333,245.1792616,258.9792616,0,338.3316186,0,34665.11905,41604.03553,0,3952.658057,327.0453931,50.0677452
