,bev,ac_leakage,ac_efficiency,powertrain_type,cd_ftp_1:cert_direct_oncycle_kwh_per_mile,cd_ftp_2:cert_direct_oncycle_kwh_per_mile,cd_ftp_3:cert_direct_oncycle_kwh_per_mile,cd_ftp_4:cert_direct_oncycle_kwh_per_mile,cd_hwfet:cert_direct_oncycle_kwh_per_mile,cd_us06_1:cert_direct_oncycle_kwh_per_mile,cd_us06_2:cert_direct_oncycle_kwh_per_mile,battery_sizing_onroad_direct_kwh_per_mile,nominal_onroad_direct_kwh_per_mile,onroad_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_oncycle_co2e_grams_per_mile,onroad_direct_oncycle_kwh_per_mile,cert_direct_offcycle_co2e_grams_per_mile,cert_direct_offcycle_kwh_per_mile,cert_indirect_offcycle_co2e_grams_per_mile,nominal_onroad_direct_co2e_grams_per_mile,cert_direct_oncycle_co2e_grams_per_mile,cert_direct_oncycle_kwh_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,cert_indirect_co2e_grams_per_mile,cert_co2e_grams_per_mile,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,credits_co2e_Mg_per_vehicle,cost_curve_class,structure_mass_lbs,footprint_ft2,structure_material,curbweight_lbs,rated_hp,battery_kwh,motor_kw,vehicle_id,vehicle_base_year_id,vehicle_name,model_year,delta_glider_non_structure_mass_lbs,glider_non_structure_mass_lbs,battery_mass_lbs,powertrain_mass_lbs,etw_lbs,vehicle_eng_rated_hp,vehicle_mot_rated_kw,rlhp20,rlhp60,engine_cost,driveline_cost,emachine_cost,battery_cost,electrified_driveline_cost,tech_bundle,structure_cost,glider_non_structure_cost,new_vehicle_mfr_cost_dollars,powertrain_cost,new_vehicle_mfr_generalized_cost_dollars,frontier
0,1,1,1,BEV,0.23208175053411353,0.21750971218518608,0.23250516791443987,0.21744133351239547,0.2349244519675731,0.3505801945857905,0.3126209360249429,0.3881951051670344,0.2911463288752758,0.2911463288752758,0,0,0.2911463288752758,5.0,0,13.8,0,0,0.22927348314421958,-5.0,0.22927348314421958,0,-18.8,70.59802463999999,-6.4241856,77.02221023999999,BEV,850.061561904762,51.047619047619044,steel,5593.323388922367,385.28654874731217,96.53620342914509,287.3085776105592,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,-64.12644444444456,3102.4856886792436,1075.8931856403692,564.882952697991,5893.323388922367,200.0,250.0,2.5423384341312225,18.10066352232148,0,798.8847255436788,2051.884061899117,16537.97498771884,8499.123224379078,BEV,4162.638514285714,63333.10397395428,95383.60948778072,11349.892011821874,97374.80568417483,True
1,1,1,1,BEV,0.23329793262526632,0.21908691465666982,0.23371910988837383,0.21901853780076502,0.23563345671471878,0.35355942874294904,0.3135174932570497,0.38973929368100046,0.29230447026075035,0.29230447026075035,0,0,0.29230447026075035,5.0,0,13.8,0,0,0.23036394896485518,-5.0,0.23036394896485518,0,-18.8,74.09546323200001,-6.4241856,80.51964883200002,BEV,880.97064,53.6,steel,5697.526155064738,392.46437869657467,96.99534693257061,292.66109282231037,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,0.0,3166.612133123688,1080.912133031564,569.0312489094867,5997.526155064738,200.0,250.0,2.5423384341312225,18.10066352232148,0,826.8348673692312,2090.1103506699023,16602.13153731288,8550.96721851986,BEV,4232.183940000001,63906.70054538285,96208.92845925473,11467.912436558992,97695.5385724798,False
2,1,1,1,BEV,0.23457912586736493,0.2207487508867183,0.23499794494699777,0.22068037565010715,0.23637996674531692,0.3566985202971188,0.31446166422501975,0.3913658571896537,0.2935243928922403,0.2935243928922403,0,0,0.2935243928922403,5.0,0,13.8,0,0,0.2315126207909758,-5.0,0.2315126207909758,0,-18.8,77.226912,-6.4241856,83.6510976,BEV,913.4251720000001,56.28,steel,5807.471409617974,400.0377701728938,97.47899822777927,298.3085786736169,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,67.33276666666666,3233.9448997903546,1086.4705894954645,573.6307483321557,6107.471409617974,200.0,250.0,2.5423384341312225,18.10066352232148,0,826.8348673692312,2130.4432439808847,16669.652181886675,8586.346949494406,BEV,4305.206636999999,64508.976945382856,97027.46082511405,11543.625060844523,97984.27525440621,True
3,1,1,1,BEV,0.2282509994745731,0.212543471741003,0.2286814847606334,0.2124750854436541,0.23268905354717226,0.3412002295409117,0.30979577736003766,0.3833307876817538,0.2874980907613154,0.2874980907613154,0,0,0.2874980907613154,5.0,0,13.8,0,0,0.22583821626918865,-5.0,0.22583821626918865,0,-18.8,70.59802463999999,-6.4241856,77.02221023999999,BEV,552.5400152380953,51.047619047619044,aluminum,5266.091443689175,362.74573391288567,95.08977527123733,270.49986869165684,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,-64.12644444444456,3102.4856886792436,1059.61240045043,551.453339321406,5566.091443689175,200.0,250.0,2.5423384341312225,18.10066352232148,0,798.8847255436788,1931.840580362179,16335.49553770303,8393.821924785272,BEV,5067.954077714286,63333.10397395428,95861.10082006273,11124.547230691129,97833.74270673032,False
4,1,1,1,BEV,0.22932524243420974,0.2139359140456319,0.22975374367527965,0.21386753019006996,0.2333162241696077,0.34382995239519154,0.31058812616551607,0.38469486461116054,0.2885211484583704,0.2885211484583704,0,0,0.2885211484583704,5.0,0,13.8,0,0,0.22680162950991503,-5.0,0.22680162950991503,0,-18.8,74.09546323200001,-6.4241856,80.51964883200002,BEV,572.6309160000001,53.6,aluminum,5357.710178972792,369.0567343438512,95.49542295154319,275.2059882357095,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,0.0,3166.612133123688,1063.6701193972524,554.7970104518522,5657.710178972792,200.0,250.0,2.5423384341312225,18.10066352232148,0,798.8847255436788,1965.4504773104093,16392.337289596762,8423.304290529333,BEV,5170.4176716,63906.70054538285,96657.09499996304,11187.639493383422,98124.4637911242,False
5,1,1,1,BEV,0.23046633013673318,0.21541517825905657,0.2308927256683012,0.21534679673353876,0.23398216837931798,0.3466238911838926,0.31142972243718586,0.38614385053752187,0.2896078879031414,0.2896078879031414,0,0,0.2896078879031414,5.0,0,13.8,0,0,0.22782492843571656,-5.0,0.22782492843571656,0,-18.8,77.226912,-6.4241856,83.6510976,BEV,593.7263618000001,56.28,aluminum,5455.152210763325,375.7688626298456,95.92628565714382,280.2112292358396,5292,99.0,Large:sedan:BEV:1.0:{'electricity':1.0}:car:4.0:0.0:2019:2019.0:5.0:BEV:aluminum:Tesla:Tesla,2020,67.33276666666666,3233.9448997903546,1068.6102285580905,558.8707206148792,5755.152210763325,200.0,250.0,2.5423384341312225,18.10066352232148,0,798.8847255436788,2001.1966228642393,16452.66368813057,8454.66055855901,BEV,5278.00444518,64508.976945382856,97494.38698566036,11254.741906966927,98431.28274617507,False
6,1,1,1,BEV,0.24938652083007146,0.22915375258742166,0.2498168833262411,0.22908529352718837,0.2557978636915708,0.37987367784452164,0.3446815502389104,0.42435421787757166,0.31826566340817875,0.31826566340817875,0,0,0.31826566340817875,7.2,0,17.2,0,0,0.24657249141154242,-7.2,0.24657249141154242,0,-24.4,103.99803348333334,-9.6444355,113.64246898333334,BEV,988.669942857143,52.1904761904762,steel,5867.87442057201,362.9679135380247,103.81999638380732,270.6655482677549,5293,165.0,Large Crossover:cuv_suv:BEV:1.0:{'electricity':1.0}:truck:4.0:0.0:2019:2016.0:5.0:BEV:steel:Tesla:Tesla,2020,-77.71721088419856,3167.86146123949,1160.0597955664084,551.28322090897,6167.87442057201,200.0,250.0,2.789486541364637,20.331598517449688,0,826.8348673692312,1933.0238213374573,17549.325090223585,9026.206034093144,BEV,4774.507371428572,68131.36241187016,102241.25959632214,11786.064722799832,104381.80862149395,True
7,1,1,1,BEV,0.2510247190478853,0.23129880810155107,0.25145225584387676,0.23123035343693882,0.2567024059376525,0.384110887936272,0.3458541169342677,0.42642467576960236,0.31981850682720175,0.31981850682720175,0,0,0.31981850682720175,7.2,0,17.2,0,0,0.24802451734893005,-7.2,0.24802451734893005,0,-24.4,108.71176074500003,-9.6444355,118.35619624500004,BEV,1046.5215200000002,54.80000000000001,steel,6015.359808126474,372.09088713308194,104.4313757258653,277.4685591065621,5293,165.0,Large Crossover:cuv_suv:BEV:1.0:{'electricity':1.0}:truck:4.0:0.0:2019:2016.0:5.0:BEV:steel:Tesla:Tesla,2020,0.0,3245.5786721236886,1166.722924557232,556.5366914455533,6315.359808126474,200.0,250.0,2.789486541364637,20.331598517449688,0,826.8348673692312,1981.6091772957348,17633.60916449447,9068.824767389879,BEV,4904.673420000001,68838.58437105092,103254.13576760024,11877.268812054845,104880.67752463096,False
8,1,1,1,BEV,0.2527491967719883,0.23355730367124802,0.25317376324136764,0.2334888530815424,0.2576540405865499,0.3885722833842108,0.34708842006000873,0.42860433078664056,0.32145324808998044,0.32145324808998044,0,0,0.32145324808998044,7.2,0,17.2,0,0,0.24955290458134394,-7.2,0.24955290458134394,0,-24.4,113.66117436975004,-9.6444355,123.30560986975004,BEV,1107.2656760000004,57.54000000000001,steel,6170.950053407778,381.7152012626811,105.07490719214482,284.64542010013355,5293,165.0,Large Crossover:cuv_suv:BEV:1.0:{'electricity':1.0}:truck:4.0:0.0:2019:2016.0:5.0:BEV:steel:Tesla:Tesla,2020,81.6030714284084,3327.181743552097,1174.1185321300195,562.3841017256615,6470.950053407778,200.0,250.0,2.789486541364637,20.331598517449688,0,826.8348673692312,2032.864475030478,17722.227680225085,9113.785554876495,BEV,5041.347771000001,69581.16742819073,104318.22777669202,11973.484897276205,105405.08354579235,True
9,1,1,1,BEV,0.24517579789329194,0.22364157238528257,0.2456134443192815,0.22357309949115564,0.2534711398501408,0.36898724672289823,0.3416691653041939,0.41903441024100346,0.3142758076807526,0.3142758076807526,0,0,0.3142758076807526,7.2,0,17.2,0,0,0.24283989318427746,-7.2,0.24283989318427746,0,-24.4,103.99803348333334,-9.6444355,113.64246898333334,BEV,642.635462857143,52.1904761904762,aluminum,5490.111669479449,339.60071994305935,102.2483760775905,253.24060785302183,5293,165.0,Large Crossover:cuv_suv:BEV:1.0:{'electricity':1.0}:truck:4.0:0.0:2019:2016.0:5.0:BEV:steel:Tesla:Tesla,2020,-77.71721088419856,3167.86146123949,1142.2853595776055,537.3293858052102,5790.111669479449,200.0,250.0,2.789486541364637,20.331598517449688,0,798.8847255436788,1808.5793727453365,17332.242369828673,8898.732075196805,BEV,5827.440860571429,68131.36241187016,102797.24181575608,11506.19617348582,104917.49912294831,False
